futures_contract,first_notice,expiration
SIH23,2/28/2023,3/29/2023
SIK23,4/28/2023,5/26/2023
SIN23,6/30/2023,7/27/2023
SIU23,8/31/2023,9/27/2023
SIZ23,11/30/2023,12/27/2023
SIH24,2/29/2024,3/27/2024
SIK24,4/30/2024,5/29/2024
SIN24,6/28/2024,7/29/2024
SIU24,8/30/2024,9/26/2024
SIZ24,11/29/2024,12/27/2024
GCG23,1/31/2023,2/24/2023
GCJ23,3/31/2023,4/26/2023
GCM23,5/31/2023,6/28/2023
GCQ23,7/31/2023,8/29/2023
GCV23,9/29/2023,10/27/2023
GCZ23,11/30/2023,12/27/2023
GCG24,1/31/2024,2/27/2024
GCJ24,3/28/2024,4/26/2024
GCM24,5/31/2024,6/26/2024
GCQ24,7/31/2024,8/28/2024
GCV24,9/30/2024,10/29/2024
GCZ24,11/29/2024,12/27/2024
HGH23,2/28/2023,3/29/2023
HGK23,4/28/2023,5/26/2023
HGN23,6/30/2023,7/27/2023
HGU23,8/31/2023,9/27/2023
HGZ23,11/30/2023,12/27/2023
HGH24,2/29/2024,3/26/2024
HGK24,4/30/2024,5/29/2024
HGN24,6/28/2024,7/29/2024
HGU24,8/30/2024,9/26/2024
HGZ24,11/29/2024,12/27/2024
NGF23,12/29/2022,12/28/2022
NGG23,1/30/2023,1/27/2023
NGH23,2/27/2023,2/24/2023
NGJ23,3/30/2023,3/29/2023
NGK23,4/27/2023,4/26/2023
NGM23,5/30/2023,5/26/2023
NGN23,6/29/2023,6/28/2023
NGQ23,7/28/2023,7/27/2023
NGU23,8/30/2023,8/29/2023
NGV23,9/28/2023,9/27/2023
NGX23,10/30/2023,10/27/2023
NGZ23,11/29/2023,11/28/2023
NGF24,12/28/2023,12/27/2023
NGG24,1/30/2024,1/29/2024
NGH24,2/28/2024,2/27/2024
NGJ24,3/27/2024,3/26/2024
NGK24,4/29/2024,4/26/2024
NGM24,5/30/2024,5/29/2024
NGN24,6/27/2024,6/26/2024
NGQ24,7/30/2024,7/29/2024
NGU24,8/29/2024,8/28/2024
NGV24,9/27/2024,9/26/2024
NGX24,10/30/2024,10/29/2024
NGZ24,11/27/2024,11/26/2024
CLF23,12/22/2022,12/20/2022
CLG23,1/24/2023,1/20/2023
CLH23,2/23/2023,2/21/2023
CLJ23,3/23/2023,3/21/2023
CLK23,4/24/2023,4/20/2023
CLM23,5/24/2023,5/22/2023
CLN23,6/22/2023,6/20/2023
CLQ23,7/24/2023,7/20/2023
CLU23,8/24/2023,8/22/2023
CLV23,9/22/2023,9/20/2023
CLX23,10/24/2023,10/20/2023
CLZ23,11/22/2023,11/20/2023
CLF24,12/21/2023,12/19/2023
CLG24,1/24/2024,1/22/2024
CLH24,2/22/2024,2/20/2024
CLJ24,3/22/2024,3/20/2024
CLK24,4/24/2024,4/22/2024
CLM24,5/23/2024,5/21/2024
CLN24,6/24/2024,6/20/2024
CLQ24,7/24/2024,7/22/2024
CLU24,8/22/2024,8/20/2024
CLV24,9/24/2024,9/20/2024
CLX24,10/24/2024,10/22/2024
CLZ24,11/22/2024,11/20/2024
ZCH23,2/28/2023,3/14/2023
ZCK23,4/28/2023,5/12/2023
ZCN23,6/30/2023,7/14/2023
ZCU23,8/31/2023,9/14/2023
ZCZ23,11/30/2023,12/14/2023
ZCH24,2/29/2024,3/14/2024
ZCK24,4/30/2024,5/14/2024
ZCN24,6/28/2024,7/12/2024
ZCU24,8/30/2024,9/13/2024
ZCZ24,11/29/2024,12/13/2024
ZSF23,12/30/2022,1/13/2023
ZSH23,2/28/2023,3/14/2023
ZSK23,4/28/2023,5/12/2023
ZSN23,6/30/2023,7/14/2023
ZSQ23,7/31/2023,8/14/2023
ZSU23,8/31/2023,9/14/2023
ZSX23,10/31/2023,11/14/2023
ZSF24,12/29/2023,1/12/2024
ZSH24,2/29/2024,3/14/2024
ZSK24,4/30/2024,5/14/2024
ZSN24,6/28/2024,7/12/2024
ZSQ24,7/31/2024,8/14/2024
ZSU24,8/30/2024,9/13/2024
ZSX24,10/31/2024,11/14/2024
ZWK23,4/28/2023,5/12/2023
ZWH23,2/28/2023,3/14/2023
ZWN23,6/30/2023,7/14/2023
ZWU23,8/31/2023,9/14/2023
ZWZ23,11/30/2023,12/14/2023
ZWK24,4/30/2024,5/14/2024
ZWH24,2/29/2024,3/14/2024
ZWN24,6/28/2024,7/12/2024
ZWU24,8/30/2024,9/13/2024
ZWZ24,11/29/2024,12/13/2024
ZNH23,2/28/2023,3/22/2023
ZNM23,5/31/2023,6/22/2023
ZNU23,8/31/2023,9/21/2023
ZNZ23,11/30/2023,12/20/2023
